approved_symbol,hgnc_id,gene_name_reported,source,source_count,source_evidence
ABRAXAS1,25829,ABRAXAS1,dresden_cancer_v1_list,1,TRUE
ACD,25070,ACD,leipzig_cancer_v6; dresden_cancer_v1_list,2,TRUE
AIP,358,AIP,leipzig_cancer_v6; dresden_cancer_v1_list,2,TRUE
AKT1,391,AKT1,leipzig_cancer_v6; dresden_cancer_v1_list,2,TRUE
ALK,427,ALK,leipzig_cancer_v6; dresden_cancer_v1_list,2,TRUE
ANKRD26,29186,ANKRD26,leipzig_cancer_v6; dresden_cancer_v1_list,2,TRUE
APC,583,APC,leipzig_cancer_v6; dresden_cancer_v1_list,2,TRUE
ARID1A,11110,ARID1A,leipzig_cancer_v6; dresden_cancer_v1_list,2,TRUE
ARID1B,18040,ARID1B,leipzig_cancer_v6; dresden_cancer_v1_list,2,TRUE
ATM,795,ATM,leipzig_cancer_v6; dresden_cancer_v1_list,2,TRUE
ATR,882,ATR,leipzig_cancer_v6; dresden_cancer_v1_list,2,TRUE
ATRX,886,ATRX,leipzig_cancer_v6; dresden_cancer_v1_list,2,TRUE
AXIN2,904,AXIN2,dresden_cancer_v1_list,1,TRUE
BAP1,950,BAP1,leipzig_cancer_v6; dresden_cancer_v1_list,2,TRUE
BARD1,952,BARD1,leipzig_cancer_v6; dresden_cancer_v1_list,2,TRUE
BLM,1058,BLM,leipzig_cancer_v6; dresden_cancer_v1_list,2,TRUE
BMPR1A,1076,BMPR1A,leipzig_cancer_v6; dresden_cancer_v1_list,2,TRUE
BRAF,1097,BRAF,leipzig_cancer_v6; dresden_cancer_v1_list,2,TRUE
BRCA1,1100,BRCA1,leipzig_cancer_v6; dresden_cancer_v1_list,2,TRUE
BRCA2,1101,BRCA2,leipzig_cancer_v6; dresden_cancer_v1_list,2,TRUE
BRIP1,20473,BRIP1,leipzig_cancer_v6; dresden_cancer_v1_list,2,TRUE
BUB1B,1149,BUB1B,leipzig_cancer_v6; dresden_cancer_v1_list,2,TRUE
CASR,1514,CASR,leipzig_cancer_v6; dresden_cancer_v1_list,2,TRUE
CBL,1541,CBL,leipzig_cancer_v6; dresden_cancer_v1_list,2,TRUE
